title,doi,authors,year,methodological_clarity,methodological_clarity_notes,ai_appropriateness,ai_appropriateness_notes,dataset_quality,dataset_quality_notes,results_transparency,results_transparency_notes,replicability,replicability_notes,sample_size_adequacy,sample_size_adequacy_notes,evaluation_rigor,evaluation_rigor_notes,overall_quality_score,risk_of_bias,quality_notes
Gamification opportunity in augmented reality-based learning media: A review,,"AD Ramadhan, AE Permanasari, ...",2022,,,,,,,,,,,,,,,,,
Vision based human action classification using CNN model with mode calculation,,"IZ Tonu, A Matin, HB Kibria",2021,,,,,,,,,,,,,,,,,
Noise is inside me! generating adversarial perturbations with noise derived from natural filters,,"A Agarwal, M Vatsa, R Singh, ...",2020,,,,,,,,,,,,,,,,,
Persistent homology based graph convolution network for fine-grained 3d shape segmentation,,"CC Wong, CM Vong",2021,,,,,,,,,,,,,,,,,
Identification of patients with sarcopenia using gait parameters based on inertial sensors,,"JK Kim, MN Bae, KB Lee, SG Hong",2021,,,,,,,,,,,,,,,,,
Artificial intelligence and artistic imagination: Revisiting the cultural economy of industrial revolutions,,"OD Jora, M Iacob, VI Rosca, MR Nedelcu, ...",2024,,,,,,,,,,,,,,,,,
A 3D shape recognition method using hybrid deep learning network CNN–SVM,,"L Hoang, SH Lee, KR Kwon",2020,,,,,,,,,,,,,,,,,
Study on time-temperature-transformation diagrams of stainless steel using machine-learning approach,,"X Huang, H Wang, W Xue, S Xiang, H Huang, ...",2020,,,,,,,,,,,,,,,,,
Reeval: Automatic hallucination evaluation for retrieval-augmented large language models via transferable adversarial attacks,,"X Yu, H Cheng, X Liu, D Roth, J Gao",2024,,,,,,,,,,,,,,,,,
Deep Learning for Unearthing Emotions in Twitter A Hybrid Emotional Recognition Model,,"R Aman, V Kumar, D Chaudhary",2024,,,,,,,,,,,,,,,,,
Artificial intelligence and quantum computing for advanced wireless networks,,"SG Glisic, B Lorenzo",2022,,,,,,,,,,,,,,,,,
Multi-domain adversarial variational Bayesian inference for domain generalization,,"Z Gao, S Guo, C Xu, J Zhang, M Gong, ...",2022,,,,,,,,,,,,,,,,,
Automated artificial intelligence topology generation based on frames,,"JD Bennett, BR Rao",2025,,,,,,,,,,,,,,,,,
Basic AI: a human guide to artificial intelligence,,D Shrier,2024,,,,,,,,,,,,,,,,,
Emotion carrier recognition from personal narratives,,"A Tammewar, A Cervone, G Riccardi",2020,,,,,,,,,,,,,,,,,
Adversarial attacks on image classification models: FGSM and patch attacks and their impact,,"J Sen, S Dasgupta",2023,,,,,,,,,,,,,,,,,
Model interpretation and data valuation for machine learning,,A Ghorbani,2021,,,,,,,,,,,,,,,,,
Comparative Study of Point Cloud Classification Using Deep Learning Neural Networks,,"CW Sia, KH Lim, JTS Phang",2023,,,,,,,,,,,,,,,,,
Deep learning techniques for weed detection in agricultural environments: A comprehensive review,,"DG Pai, R Kamath, M Balachandra",2024,,,,,,,,,,,,,,,,,
Artificial intelligence quotient (AIQ),,"X Qin, JG Lu, C Chen, X Zhou, Y Gan, ...",2024,,,,,,,,,,,,,,,,,
Automatic identification of the endangered hawksbill sea turtle behavior using deep learning and cross-species transfer learning,,"L Jeantet, K Zondo, C Delvenne, ...",2024,,,,,,,,,,,,,,,,,
Quadratic terms based point-to-surface 3D representation for deep learning of point cloud,,"T Sun, G Liu, R Li, S Liu, S Zhu, ...",2021,,,,,,,,,,,,,,,,,
GSV-NET: A Multi-modal deep learning network for 3D point cloud classification,,"L Hoang, SH Lee, EJ Lee, KR Kwon",2022,,,,,,,,,,,,,,,,,
Assessment tools and systems: Meaningful feedback approaches to promote critical and creative thinking,,BJ Smith,2022,,,,,,,,,,,,,,,,,
AI for social good: Using artificial intelligence to save the world,,R Dodhia,2024,,,,,,,,,,,,,,,,,
Egocentric hierarchical visual semantics,,"L Erculiani, A Bontempelli, A Passerini, ...",2023,,,,,,,,,,,,,,,,,
Data-driven machine learning: A new approach to process and utilize biomedical data,,"A Srivastava, S Jha",2022,,,,,,,,,,,,,,,,,
"Leveraging EBSD data by deep learning for bainite, ferrite and martensite segmentation",,"S Breumier, TM Ostormujof, B Frincu, N Gey, ...",2022,,,,,,,,,,,,,,,,,
PACNet: a high-precision point cloud registration network based on deep learning,,"Q Mei, F Wang, C Tong, J Zhang, ...",2021,,,,,,,,,,,,,,,,,
Machine learning based deep cloud model to enhance robustness and noise interference,,"M Raparthi, A Agarwal",2023,,,,,,,,,,,,,,,,,
A light-weight gender/age estimation model based on multi-taking deep learning for an embedded system,,"HTQ Bao, ST Chung",2020,,,,,,,,,,,,,,,,,
Point-Voxel Transformer: An Efficient Approach To 3D Deep Learning,,SA Darmawan,2021,,,,,,,,,,,,,,,,,
Toward intelligent communications: Large model empowered semantic communications,,"H Xie, Z Qin, X Tao, Z Han",2024,,,,,,,,,,,,,,,,,
Integrating supercomputing and artificial intelligence for life science,,"J Rao, S Zheng, Y Yang",2022,,,,,,,,,,,,,,,,,
"Artificial intelligence: Ethical, social, and security impacts for the present and the future",,J Mehan,2022,,,,,,,,,,,,,,,,,
Taxing artificial intelligence,,X Oberson,2024,,,,,,,,,,,,,,,,,
Chatbot arena: An open platform for evaluating llms by human preference,,"WL Chiang, L Zheng, Y Sheng, ...",2024,,,,,,,,,,,,,,,,,
Stereotype and categorical bias evaluation via differential cosine bias measure,,"S Sayenju, R Aygun, B Franks, ...",2022,,,,,,,,,,,,,,,,,
DV-ConvNet: Fully convolutional deep learning on point clouds with dynamic voxelization and 3d group convolution,,"Z Su, PS Tan, J Chow, J Wu, Y Cheong, ...",2020,,,,,,,,,,,,,,,,,
An architectural risk analysis of large language models: Applied machine learning security,,"G McGraw, H Figueroa, K McMahon, ...",2024,,,,,,,,,,,,,,,,,
Application of video data classification models using convolutional neural networks,,"I Tvoroshenko, V Pomazan, V Gorokhovatskyi, ...",2023,,,,,,,,,,,,,,,,,
Artificial Intelligence: Challenges for the future,,M Vazirgiannis,2020,,,,,,,,,,,,,,,,,
A machine learning approach for midi to guitar tablature conversion,,"M Kaliakatsos-Papakostas, G Bastas, D Makris, ...",2025,,,,,,,,,,,,,,,,,
User-Centered Evaluation of Smart Musical Instruments with Embedded Real-Time Pattern Detection,,"N Silva, L Turchet",2025,,,,,,,,,,,,,,,,,
GOAT: A Large Dataset of Paired Guitar Audio Recordings and Tablatures,,"J Loth, P Sarmento, S Sarkar, Z Guo, M Barthet, ...",2025,,,,,,,,,,,,,,,,,
From Tools to Creators: A Review on the Development and Application of Artificial Intelligence Music Generation,,"L Wei, Y Yu, Y Qin, S Zhang",2025,,,,,,,,,,,,,,,,,
Music Instruments Classification Using Signal Processing and Machine Learning,,"H Chandrashekar, KT Swetha, V Ambika, ...",2025,,,,,,,,,,,,,,,,,
Automatic Guitar Transcription Using Deep Neural Networks,,S Chieppa,2024,,,,,,,,,,,,,,,,,
Intelligent generation and optimization of resources in music teaching reform based on artificial intelligence and deep learning,,"D Cheng, X Qu",2025,,,,,,,,,,,,,,,,,
"Artificial Intelligence in Music Education: Trends, Challenges, and Future Directions",,"CAN Mazlan, SI Koning, MYM Yusoff, ...",2025,,,,,,,,,,,,,,,,,
Explainable instrument classification: from MFCC mean-vector models to CNNs on MFCC and mel-spectrograms with t-SNE and Grad-CAM insights,,"T Senatori, D Nardone, M Lo Giudice, A Salvini",2025,,,,,,,,,,,,,,,,,
Whisper Model and Lexrank Algorithm as an Efficient Solution for YouTube Video Transcription and Summarization,,"LM Wicaksana, MA Bianto, I Pasha, ...",2025,,,,,,,,,,,,,,,,,
From artificial intelligence to real dummies,,R Vivian,2025,,,,,,,,,,,,,,,,,
Quest: Human Learning-A Framework for Incorporating Generative-AI Teaching and Learning Instruction in STEM Pre-Service Teacher Preparation (Evaluation),,"C Liebe, SA Schill, CE Smith, JA Ovi",2025,,,,,,,,,,,,,,,,,
Audio signal processing in the artificial intelligence era: challenges and directions,,"CJ Steinmetz, C Uhle, F Everardo, C Mitcheltree, ...",2025,,,,,,,,,,,,,,,,,
Conceptual Bridges in Machine Learning,,M Cristescu,2025,,,,,,,,,,,,,,,,,
"Deep Neural Network and SVM-Based Multiclass Musical Instruments Classification Using MFCC, STFT, and Related Acoustic Features",,Y Liu,2025,,,,,,,,,,,,,,,,,
